,normal,ecg_duration,number_of_beats,mean_qrs_amplitude,standard_deviation_qrs_amplitude,mean_t_amplitude,standard_deviation_t_amplitude,mean_p_amplitude,standard_deviation_p_amplitude,mean_rr_interval,standard_deviation_rr_interval,mean_pr_interval,standard_deviation_pr_interval,mean_qt_interval,standard_deviation_qt_interval,mean_pr_segment,standard_deviation_pr_segment,mean_st_deviation,standard_deviation_st_deviation,mean_heart_rate,standard_deviation_heart_rate
16,1,30.0,59,-0.0847,1.005,0.3571,0.9425,0.2075,0.9876,0.5076,0.207,-0.3342,0.4146,0.8782,0.4261,0.9452,0.3916,0.3448,0.9469,137.6013,52.0319
17,1,30.0,46,0.2174,0.9869,0.0476,1.011,0.0769,1.0101,0.6551,0.2147,-0.9049,0.894,1.4712,0.9832,1.6447,1.0053,-0.2,0.9909,111.2423,70.6898
18,0,30.0,48,-0.0833,1.0071,0.2444,0.9806,-0.381,0.9358,0.6222,0.0081,-0.4318,0.5108,1.0124,0.5003,1.151,0.5098,-0.617,0.7955,96.4483,1.2585
19,0,60.0,54,-0.4444,0.9042,0.0417,1.0097,0.4762,0.89,1.0921,0.1561,-2.2663,1.8497,3.2778,2.0063,3.4685,1.899,0.7736,0.6398,57.3212,19.5505
20,0,60.0,108,0.7037,0.7138,-0.2475,0.9737,-0.6421,0.7707,0.5552,0.1474,-1.7706,0.9653,2.3462,0.9962,2.417,0.9832,-0.9439,0.3317,114.5374,32.5106
21,0,30.0,35,-0.0286,1.0142,0.3125,0.9651,0.3793,0.9416,0.8391,0.1187,-0.5532,0.6804,1.3631,0.7668,1.5104,0.7217,0.1176,1.008,73.7755,16.8464
22,1,30.0,33,-0.3333,0.9574,0.4,0.9322,0.037,1.0184,0.9077,0.0169,-0.6026,0.641,1.4462,0.8029,1.6358,0.6247,-0.75,0.672,66.1231,1.2526
23,0,30.0,41,-0.7073,0.7157,0.2973,0.968,0.1765,0.9991,0.729,0.2003,-0.4614,0.6076,1.2109,0.7426,1.3137,0.6417,0.05,1.0115,98.2248,64.1433
24,1,30.0,33,-0.1515,1.0038,0.0,1.0171,0.1111,1.0127,0.9057,0.0505,-0.5767,0.6813,1.4437,0.8095,1.594,0.6757,-0.375,0.9419,66.4474,3.7531
25,1,30.0,35,-0.0857,1.0109,0.375,0.9419,0.4483,0.9097,0.8346,0.1181,-0.5026,0.6699,1.2834,0.7485,1.4353,0.6708,0.0588,1.0133,74.1996,17.5549
26,1,30.0,41,-0.3659,0.9422,-0.1579,1.0007,-0.0857,1.0109,0.727,0.2169,-0.4583,0.5968,1.1671,0.7663,1.3042,0.7138,-0.35,0.9487,93.8116,39.5356
27,0,26.14,38,-0.3158,0.9616,-0.0909,1.0113,0.2667,0.9803,0.688,0.3478,-0.5331,0.7309,1.1668,0.7895,1.3391,0.7646,0.2973,0.968,117.4736,73.6119
28,1,11.4667,22,0.1818,1.0065,0.2,1.0052,0.2222,1.0033,0.5148,0.1909,0.1262,0.1429,0.411,0.1819,0.488,0.236,-0.2381,0.9952,131.1891,43.0306
29,0,33.4067,48,0.0417,1.0097,-0.2093,0.9894,-0.1282,1.0047,0.6951,0.2264,-1.158,0.8718,1.7653,0.9592,1.9353,0.9438,-0.4468,0.9043,100.8263,53.4339
30,0,30.0,35,-0.0857,1.0109,0.375,0.9419,-0.1034,1.0122,0.8409,0.014,-0.4912,0.733,1.2036,0.655,1.44,0.7519,-0.9412,0.343,71.3728,1.1869
31,0,30.0,48,0.0,1.0106,0.1818,0.9947,0.2195,0.9877,0.6244,0.1953,-0.9636,0.7999,1.5919,0.9206,1.6659,0.9501,0.1489,0.9995,111.1794,56.1828
32,1,30.0,39,0.4872,0.8847,0.3889,0.9344,-0.1515,1.0038,0.7527,0.1119,-0.5383,0.5835,1.2333,0.7036,1.401,0.6039,-0.5263,0.8617,82.5967,21.4048
33,1,30.0,25,0.68,0.7483,0.3636,0.9535,0.2632,0.9912,1.1933,0.0195,-0.9709,0.8981,1.833,1.0712,2.29,0.8577,-0.5833,0.8297,50.2922,0.8242
34,1,30.0,40,1.0,0.0,0.2432,0.9833,0.1176,1.008,0.7397,0.013,-0.5311,0.5718,1.2213,0.7107,1.3823,0.5597,-1.0,0.0,81.1335,1.4248
35,1,30.0,26,0.7692,0.6516,0.4783,0.898,-0.4,0.9403,1.1783,0.0587,-0.8843,0.9927,1.8,1.107,2.16,1.03,0.6,0.8165,51.0491,2.659
36,1,30.0,37,-0.3514,0.9492,-0.1765,0.9991,-0.0968,1.0118,0.8116,0.0202,-0.5244,0.6582,1.2582,0.7866,1.4342,0.6808,-0.8889,0.4646,73.9753,1.8605
37,1,30.0,30,0.8,0.6103,0.3846,0.9414,0.1667,1.0072,1.0076,0.0261,-0.6253,0.758,2.1155,1.4005,1.7399,0.7401,-0.8621,0.5158,59.5871,1.5561
38,0,30.0,62,0.3226,0.9543,0.0345,1.0081,-0.0909,1.005,0.4828,0.1994,-0.7041,0.5803,1.205,0.6067,1.2761,0.6049,-0.5082,0.8684,147.0212,63.0192
39,1,45.9867,73,0.8904,0.4583,-0.2059,0.9859,-0.2381,0.979,0.6276,0.1291,-0.9693,0.8883,1.4905,0.9334,1.7003,0.9166,-0.5556,0.8373,102.7148,35.8534
40,0,30.0,38,0.2632,0.9777,0.2,0.9941,0.1875,0.998,0.7766,0.1762,-0.5236,0.5688,1.2281,0.667,1.4046,0.559,-0.6757,0.7474,81.4044,19.2669
41,1,30.0,34,-0.2941,0.9701,0.4194,0.9228,0.1429,1.0079,0.8935,0.0159,-0.586,0.6652,1.4248,0.8241,1.5881,0.6639,0.3333,0.9574,67.1695,1.1903
42,0,30.0,60,0.2,0.9881,-0.2632,0.9733,0.037,1.0087,0.4897,0.1767,-0.2919,0.4126,0.8468,0.401,0.8937,0.4144,-0.3898,0.9288,134.7845,36.3711
43,1,34.980000000000004,48,0.8333,0.5586,-0.0455,1.0105,-0.1,1.0077,0.7316,0.0866,-0.7108,0.7556,1.377,0.8194,1.5605,0.7705,-0.5745,0.8274,84.0303,17.6674
44,1,60.0,89,0.9775,0.212,0.2289,0.9794,-0.5584,0.835,0.6742,0.019,-1.4922,1.1584,2.1199,1.1943,2.2776,1.1625,-0.8182,0.5783,89.0703,2.5725
45,1,30.0,32,0.25,0.9837,0.0345,1.0171,0.2308,0.9923,0.9312,0.2074,-0.5408,0.7211,1.4167,0.9004,1.5713,0.7608,0.5484,0.85,114.8198,282.7164
46,0,30.0,33,0.3939,0.9334,0.3333,0.9589,0.6296,0.7917,0.8872,0.2555,-0.5486,0.7324,1.3488,0.7772,1.5344,0.728,-0.125,1.008,77.3052,39.8976
47,1,30.0,33,-0.5152,0.8704,0.5333,0.8604,0.2593,0.9842,0.9027,0.0297,-0.5989,0.6791,1.4163,0.8115,1.6116,0.6783,0.75,0.672,66.5363,2.191
48,0,30.0,32,0.625,0.7931,-0.1034,1.0122,-0.5385,0.8593,0.931,0.2189,-0.5753,0.7368,1.4374,0.9992,1.6095,0.8565,-0.2903,0.9727,71.3426,32.0008
49,1,30.0,56,0.3571,0.9425,-0.1698,0.9949,-0.52,0.8628,0.5281,0.1963,-0.3349,0.4472,0.8703,0.461,0.9666,0.4545,-0.4545,0.8989,132.072,52.8025
50,0,60.0,51,0.7255,0.6951,0.2,0.9909,-0.2308,0.9857,1.1799,0.4688,-2.4736,2.3726,3.4416,2.583,3.7409,2.6173,-0.44,0.9071,62.3351,31.9409
51,1,22.46,33,0.6364,0.7833,0.0667,1.0148,0.1852,1.0014,0.6809,0.1673,-0.2567,0.4598,0.9277,0.586,1.047,0.5449,-0.0625,1.014,97.9026,42.6011
52,1,30.0,33,-0.0909,1.0113,0.4667,0.8996,-0.3333,0.9608,0.8902,0.0382,-0.6377,0.6792,1.5028,0.8859,1.6521,0.6863,-0.0625,1.014,67.5196,2.8841
53,0,30.0,32,0.375,0.9419,-0.0345,1.0171,0.0769,1.0168,0.948,0.2595,-0.6533,0.8293,1.5077,0.9851,1.689,0.9506,-0.0323,1.016,71.8492,33.9108
54,0,30.0,50,-0.4,0.9258,-0.234,0.9827,0.2273,0.9851,0.6005,0.0079,-0.4599,0.519,0.9525,0.486,1.1563,0.523,0.6327,0.7825,99.9265,1.3242
55,0,30.0,55,0.0909,1.005,-0.3846,0.9321,-0.3469,0.9476,0.551,0.2577,-0.3461,0.5134,0.9251,0.6319,0.9906,0.6238,-0.2222,0.9842,134.965,62.0387
56,1,30.0,31,0.6774,0.7478,0.5714,0.8357,0.28,0.9798,0.9778,0.0205,-0.6021,0.6892,1.5688,0.8937,1.6948,0.7009,-0.4667,0.8996,61.3897,1.288
57,0,30.0,57,0.3333,0.9512,-0.2222,0.9842,-0.1765,0.9941,0.5208,0.1826,-0.3252,0.5276,0.9038,0.5988,0.9493,0.6086,-0.5,0.8739,122.4628,24.046
58,1,30.0,57,-0.4386,0.9067,0.5472,0.845,0.24,0.9806,0.5208,0.2377,-0.5702,0.7378,1.1206,0.8088,1.1946,0.8059,0.7143,0.7062,139.1448,55.4993
59,0,30.0,32,0.1875,0.998,0.1034,1.0122,-0.2308,0.9923,0.9194,0.268,-0.614,0.7022,1.4647,0.9254,1.6264,0.7846,-0.6774,0.7478,73.9748,33.5158
60,1,30.0,29,0.6552,0.7689,-0.2308,0.9923,-0.3043,0.974,1.0492,0.1285,-0.6408,0.7644,1.6426,0.9798,1.8112,0.7896,-0.1429,1.0079,57.7685,4.9507
61,0,30.0,32,0.5,0.8799,-0.1034,1.0122,0.0,1.0198,0.9144,0.2814,-0.6953,0.8739,1.4444,0.9532,1.6908,0.942,-0.5484,0.85,73.48,27.3529
62,1,35.9933,53,0.8113,0.5902,-0.125,1.0027,-0.5,0.876,0.6745,0.1537,-0.7531,0.8645,1.3639,0.9252,1.5217,0.8746,-0.7308,0.6893,98.1501,43.1917
63,0,12.8067,23,0.7391,0.6887,0.0476,1.0235,-0.0526,1.026,0.5547,0.152,0.056,0.2268,0.4398,0.2526,0.5962,0.2639,-0.4545,0.9117,122.4832,60.675
64,1,30.0,34,0.2941,0.9701,0.0968,1.0118,0.2143,0.9947,0.8744,0.128,-0.5376,0.6767,1.338,0.8509,1.5346,0.7182,-0.1515,1.0038,71.4321,20.3225
65,1,30.0,28,-0.0714,1.0157,0.36,0.9522,-0.2727,0.9847,1.0614,0.0343,-0.7052,0.7373,1.6211,0.9619,1.8684,0.7399,-0.4815,0.8932,56.5889,1.8495
66,0,39.5733,74,-0.1081,1.0009,0.2,0.9869,0.6061,0.8015,0.5301,0.1165,-0.6012,0.6714,1.16,0.6764,1.233,0.7165,0.8904,0.4583,118.2602,24.0622
67,1,30.0,43,-0.1628,0.9983,0.05,1.0115,-0.027,1.0134,0.6939,0.2466,-0.4182,0.55,1.1212,0.647,1.1945,0.5951,-0.1905,0.9936,100.3707,41.9324
68,1,30.0,50,-0.12,1.0029,0.234,0.9827,-0.1364,1.0021,0.5988,0.0975,-0.4359,0.4947,0.9796,0.5131,1.1406,0.4914,-0.0612,1.0085,103.793,24.0822
69,0,30.0,64,0.0,1.0079,0.1148,1.0016,0.0345,1.0081,0.4602,0.1665,-0.3131,0.3789,0.7737,0.3663,0.8605,0.3536,0.1429,0.9977,146.3478,51.6731
70,1,30.0,31,-0.0968,1.0118,0.0,1.0184,0.12,1.0132,0.9837,0.062,-0.6386,0.7103,1.5662,0.892,1.755,0.6655,-0.1333,1.008,61.2355,3.9386
71,0,30.0,31,-0.2258,0.9903,0.5714,0.8357,0.44,0.9165,0.9624,0.262,-0.5513,0.7616,1.5105,0.9542,1.6285,0.8511,0.8,0.6103,67.9672,21.9384
72,0,30.0,58,0.1379,0.9991,-0.0545,1.0077,0.0385,1.009,0.5051,0.1404,-0.3145,0.4442,0.8326,0.4777,0.9145,0.479,0.0526,1.0075,128.1883,37.7425
73,0,30.0,35,0.1429,1.0042,0.0625,1.014,0.0345,1.0171,0.851,0.2627,-0.5512,0.6716,1.3562,0.8136,1.493,0.697,-0.1765,0.9991,83.4754,47.0176
74,0,30.0,55,-0.1636,0.9956,0.098,1.0051,0.125,1.0027,0.5429,0.2443,-0.8642,0.5521,1.4129,0.6212,1.4849,0.5863,0.2222,0.9842,137.2091,66.6994
75,1,30.0,46,0.8261,0.5698,0.2093,0.9894,-0.45,0.9044,0.6488,0.0179,-0.4702,0.5284,0.9995,0.5611,1.2336,0.541,-0.8222,0.5756,92.5452,2.5511
76,1,11.1133,12,0.5,0.9045,1.0,0.0,0.7778,0.6667,0.8585,0.0853,0.1443,0.0729,0.401,0.0116,0.808,0.1504,0.6364,0.809,70.5483,7.2916
77,0,30.0,25,0.36,0.9522,-0.0909,1.0193,0.0526,1.026,1.1656,0.2031,-0.8395,0.9551,1.7621,1.1027,2.0892,1.0361,-0.75,0.6757,54.403,18.307
78,0,30.0,38,0.3684,0.9421,0.3143,0.9632,0.25,0.9837,0.7988,0.1761,-0.5623,0.6567,1.2462,0.6867,1.4737,0.6733,-0.2973,0.968,78.2167,14.9483
79,0,30.0,39,0.5897,0.8181,0.3143,0.9632,-0.1515,1.0038,0.7774,0.2764,-0.4374,0.5961,1.2726,0.7002,1.3225,0.6483,-0.7368,0.6851,96.5873,60.2772
80,1,30.0,33,-0.3333,0.9574,0.3333,0.9589,0.6296,0.7917,0.8952,0.0201,-0.5946,0.6549,1.459,0.8062,1.6134,0.6825,-0.875,0.4919,67.0563,1.5139
81,0,40.3867,55,0.4545,0.8989,-0.16,0.9971,-0.087,1.0072,0.7384,0.4661,-0.8216,0.8897,1.5702,0.9397,1.6601,0.8886,0.0,1.0094,114.6753,74.9826
82,1,30.0,35,0.2571,0.9805,0.0,1.016,-0.4483,0.9097,0.8444,0.2123,-0.4971,0.6347,1.3417,0.8449,1.449,0.7276,0.3529,0.9497,78.6259,31.6084
83,1,30.0,47,0.617,0.7955,0.3182,0.959,-0.2195,0.9877,0.6201,0.0593,-0.4662,0.5423,0.9828,0.5978,1.1962,0.5873,-0.4348,0.9105,97.5869,8.9544
84,1,30.0,40,0.9,0.4414,0.027,1.0134,-0.2353,0.9865,0.7321,0.0302,-0.5428,0.5513,1.1886,0.6307,1.4077,0.5259,-1.0,0.0,82.0952,3.3341
85,1,30.0,37,0.5676,0.8347,-0.1765,0.9991,-0.5484,0.85,0.8127,0.2722,-0.5225,0.5141,1.2761,0.5636,1.432,0.3936,-0.6111,0.8028,88.1473,46.3721
86,1,30.0,33,-0.0303,1.015,0.1333,1.008,0.037,1.0184,0.8979,0.1899,-0.5192,0.7387,1.468,0.9158,1.5126,0.8519,-0.0625,1.014,71.9604,25.7091
87,1,30.0,34,0.5882,0.8209,0.0667,1.0148,0.037,1.0184,0.8878,0.1803,-1.137,1.1153,1.9811,1.3471,2.1254,1.1487,-0.3939,0.9334,78.8326,61.9305
88,1,30.0,58,-0.069,1.0063,-0.1481,0.9983,-0.098,1.0051,0.5209,0.2062,-0.8401,0.5954,1.39,0.6688,1.4425,0.6894,0.0175,1.0087,135.9779,59.4314
89,1,28.4533,46,0.913,0.4124,-0.4884,0.883,-0.35,0.9487,0.609,0.3223,-0.3951,0.5087,0.9768,0.6031,1.1026,0.5817,-0.7333,0.6876,135.1523,72.6268
90,0,30.0,52,-0.4231,0.9149,0.0612,1.0085,0.0435,1.0101,0.5704,0.2203,-0.3939,0.4671,0.9595,0.5555,1.0649,0.5048,0.1373,1.0004,125.0835,56.1879
91,0,21.8733,35,0.0857,1.0109,-0.0625,1.014,-0.2414,0.9876,0.6219,0.2202,-0.1615,0.3843,0.8074,0.4812,0.9112,0.4894,-0.2353,0.9865,113.4866,52.6783
92,0,19.04,41,0.7073,0.7157,-0.1795,0.9966,-0.5676,0.8347,0.4564,0.0644,-0.0415,0.2447,0.5079,0.2321,0.5868,0.2474,-0.9,0.4414,145.2976,103.5257
93,1,30.0,32,0.0,1.016,0.2414,0.9876,0.2308,0.9923,0.9127,0.2101,-0.6091,0.7381,1.4386,0.9375,1.6432,0.8488,0.4194,0.9228,71.1048,29.3326
94,1,30.0,34,-0.0588,1.0133,0.4194,0.9228,0.5714,0.8357,0.864,0.161,-0.6237,0.6721,1.4605,0.8426,1.5865,0.7028,-0.6364,0.7833,75.1506,32.4644
95,0,46.5867,75,0.4933,0.8757,0.1429,0.9969,0.4462,0.9019,0.6264,0.0898,-1.0043,0.8799,1.5834,0.9163,1.7272,0.89,0.3784,0.932,98.2286,19.4008
96,0,33.8533,52,0.8846,0.4709,0.5,0.8752,-0.0909,1.0074,0.6426,0.0265,-0.6161,0.6327,1.1033,0.6106,1.3531,0.6147,-0.1765,0.9941,93.5272,3.9251
97,1,30.0,39,-0.1282,1.0047,0.1667,1.0,-0.0909,1.0113,0.7726,0.0633,-0.548,0.568,1.2981,0.6762,1.445,0.5415,0.8421,0.5466,78.1323,5.977
98,0,60.0,111,0.1351,0.9953,0.0667,1.0026,-0.2323,0.9776,0.5374,0.224,-1.1364,1.0154,1.7014,1.0565,1.7778,1.0631,-0.1091,0.9986,127.5763,41.0913
99,1,30.0,37,0.5676,0.8347,-0.1765,0.9991,-0.3548,0.9504,0.804,0.1111,-0.5123,0.6314,1.279,0.8097,1.4199,0.691,-0.8333,0.5606,77.4376,21.5362
100,0,10.6933,18,0.6667,0.767,0.125,1.0247,0.0,1.0377,0.602,0.2671,0.1994,0.1671,0.3877,0.1662,0.5202,0.2289,-0.2941,0.9852,123.8249,63.2259
101,1,35.0933,56,-0.6429,0.7729,0.1923,0.9909,0.2083,0.9884,0.6198,0.2216,-0.5541,0.6423,1.1606,0.7335,1.266,0.6965,-0.0545,1.0077,114.8569,55.2898
102,0,27.42,53,0.1698,0.9949,0.08,1.0069,0.0213,1.0106,0.5174,0.1685,-0.3041,0.43,0.8143,0.4088,0.9231,0.4334,0.1154,1.003,131.9854,55.2239
103,1,33.1,41,-0.3659,0.9422,0.4054,0.9267,0.4545,0.9045,0.7978,0.1393,-0.6416,0.7352,1.3954,0.8091,1.5407,0.747,-0.15,1.0013,80.8402,34.3666
104,0,30.0,55,-0.5636,0.8336,0.4231,0.9149,0.9184,0.3998,0.5452,0.142,-0.3475,0.4578,0.9137,0.4509,0.9973,0.4753,0.5185,0.8631,117.1625,27.9378
105,1,30.0,41,-0.0732,1.0097,-0.1053,1.0078,0.5429,0.8521,0.7357,0.2256,-0.4826,0.6072,1.2022,0.7692,1.3372,0.6698,0.1,1.0077,93.5564,41.5336
106,0,30.0,43,0.1163,1.005,-0.15,1.0013,-0.4054,0.9267,0.6934,0.1581,-0.474,0.5938,1.0998,0.6705,1.2747,0.6379,-0.5238,0.8622,91.4962,25.5576
107,1,30.0,41,0.4634,0.8971,0.2632,0.9777,0.0286,1.0142,0.7303,0.1036,-0.5095,0.5656,1.1016,0.5656,1.3434,0.5309,-0.2,0.9923,85.9268,29.5384
108,0,30.0,57,-0.4737,0.8885,0.2593,0.9749,0.9216,0.3921,0.5216,0.2206,-0.3231,0.4799,0.9149,0.5483,0.9361,0.5797,0.9643,0.2673,130.6738,39.0354
109,1,60.0,70,-0.6,0.8058,0.125,1.0,-0.2759,0.9696,0.8523,0.057,-1.7866,1.4512,2.6357,1.5639,2.7616,1.4755,-0.5072,0.8681,70.98,8.9558
110,0,30.0,26,0.6154,0.8038,0.4783,0.898,0.0,1.026,1.1603,0.1994,-0.8641,0.9378,1.8468,1.0409,2.1357,0.9136,0.36,0.9522,54.2412,15.351
111,1,30.0,35,-0.2571,0.9805,0.125,1.008,0.2414,0.9876,0.8402,0.1607,-0.5322,0.6841,1.3192,0.8128,1.4836,0.7385,0.7059,0.719,77.1831,32.5431
112,1,30.0,41,-0.2195,0.9877,0.0556,1.0126,0.2121,0.9924,0.7344,0.2431,-1.1129,0.8693,1.8623,1.0166,1.9722,0.9472,-0.3,0.9661,109.8093,103.7209
113,0,25.5933,42,0.381,0.9358,0.3846,0.9351,-0.1111,1.0079,0.6141,0.0665,-0.327,0.4581,0.8476,0.4596,1.0322,0.4334,-0.5122,0.8695,98.6548,9.0121
114,0,30.0,30,0.4667,0.8996,0.4074,0.9306,0.0833,1.018,1.0228,0.1112,-0.6925,0.7606,1.6164,0.9923,1.8211,0.794,-0.7931,0.6199,59.5515,8.8374
115,0,30.0,27,0.4815,0.8932,-0.6667,0.7614,-0.5238,0.8729,1.0804,0.0186,-0.696,0.7736,1.6419,0.9957,1.8825,0.7752,-0.8462,0.5435,55.5517,0.9668
116,0,30.0,54,-0.0741,1.0066,-0.12,1.0029,-0.0638,1.0087,0.5562,0.1719,-0.6404,0.8002,1.1875,0.808,1.2773,0.8519,-0.1321,1.0007,122.1503,51.0156
117,1,30.0,48,0.0417,1.0097,0.1818,0.9947,0.2195,0.9877,0.6309,0.2571,-0.397,0.5421,1.0689,0.6221,1.1188,0.6058,0.234,0.9827,113.2822,49.1268
118,1,30.0,42,0.8095,0.5942,0.4359,0.9118,-0.1111,1.0079,0.7076,0.0461,-0.5387,0.5389,1.1709,0.5542,1.3574,0.5013,0.2683,0.9753,85.1371,5.3366
119,1,39.0,56,1.0,0.0,-0.1923,0.9909,-0.8333,0.5586,0.6885,0.1001,-0.8133,0.7151,1.5406,0.8296,1.6424,0.707,-0.9273,0.3778,90.7571,25.8705
120,1,30.0,31,0.4194,0.9228,0.2143,0.9947,-0.04,1.0198,0.9379,0.1876,-0.6094,0.7272,1.4921,0.9846,1.6481,0.7983,-0.6,0.8137,70.1842,33.0682
121,1,30.0,36,-0.3333,0.9562,0.8182,0.5839,-0.1333,1.008,0.8198,0.015,-0.5508,0.5954,1.3639,0.7694,1.4932,0.6152,-0.4286,0.9167,73.2114,1.3299
122,1,30.0,40,-0.15,1.0013,0.027,1.0134,0.1765,0.9991,0.7265,0.2427,-0.4586,0.5822,1.1615,0.69,1.292,0.6383,0.1282,1.0047,95.3837,41.5707
123,1,30.0,30,0.7333,0.6915,0.2593,0.9842,-0.25,0.9891,1.0123,0.2119,-0.7128,0.7442,1.5756,0.905,1.8752,0.7203,-0.8621,0.5158,66.2939,35.7893
124,0,30.0,49,-0.3061,0.9619,-0.0222,1.0111,0.0,1.0121,0.6085,0.2363,-0.9515,0.7436,1.5724,0.9024,1.6265,0.8929,-0.0417,1.0097,121.7267,68.5021
125,1,30.0,30,0.1333,1.008,0.1852,1.0014,0.1667,1.0072,0.9956,0.2996,-0.8121,0.8449,1.6338,1.0109,1.949,0.9243,-0.1034,1.0122,71.4857,40.0558
126,1,30.0,41,-0.561,0.8381,-0.0811,1.0105,0.4118,0.925,0.7203,0.2073,-1.1563,0.696,1.8384,0.7715,1.9551,0.7686,0.4,0.9282,96.6846,51.175
127,1,30.0,33,0.0303,1.015,0.4,0.9322,0.3333,0.9608,0.9179,0.2433,-0.5428,0.7012,1.3929,0.7888,1.5653,0.682,0.375,0.9419,106.1911,204.1556
128,1,30.0,41,0.2683,0.9753,0.1892,0.9955,-0.0857,1.0109,0.7383,0.109,-0.51,0.5584,2.0372,0.7816,1.3605,0.6144,-0.25,0.9806,85.0289,27.3486
129,1,12.3,18,0.4444,0.9218,0.125,1.0247,0.0,1.0377,0.6943,0.1875,0.0948,0.2392,0.4671,0.2663,0.684,0.2768,-0.6471,0.7859,95.8992,38.5466
130,1,30.0,44,0.5,0.876,0.4634,0.8971,0.1579,1.0007,0.6809,0.0795,-0.4748,0.5472,1.1051,0.6087,1.2578,0.5666,0.5349,0.8549,90.3715,20.2078
131,1,30.0,34,-0.3529,0.9497,0.0968,1.0118,-0.0714,1.0157,0.8936,0.0308,-0.588,0.6595,1.4375,0.7736,1.5983,0.6366,-0.7576,0.6629,67.219,2.323
132,1,52.6867,63,0.5873,0.8159,-0.193,0.9899,0.451,0.9014,0.8344,0.0834,-1.4723,1.2684,2.3308,1.3892,2.4236,1.2977,0.4194,0.9152,73.2257,13.6882
133,0,30.0,33,-0.1515,1.0038,-0.4,0.9322,-0.1111,1.0127,0.884,0.0467,-0.5548,0.6686,1.3519,0.7688,1.5533,0.6691,-0.4375,0.9136,68.0678,3.7721
